customer_id,email,first_name,last_name,phone,is_active,created_at,updated_at
1,john.ramirez.1@retailflow.com,John,Ramirez,+1-734-630-7068,true,2025-11-16 20:08:22+00,2025-11-16 20:08:22+00
2,william.ramirez.2@retailflow.com,William,Ramirez,+1-337-460-8817,true,2023-11-07 20:08:22+00,2023-11-07 20:08:22+00
3,kenneth.king.3@retailflow.com,Kenneth,King,+1-320-732-1117,true,2024-12-11 20:08:22+00,2024-12-11 20:08:22+00
4,joseph.taylor.4@retailflow.com,Joseph,Taylor,+1-748-633-6990,true,2024-04-13 20:08:22+00,2024-04-13 20:08:22+00
5,betty.walker.5@retailflow.com,Betty,Walker,+1-459-514-6641,true,2023-10-30 20:08:22+00,2023-10-30 20:08:22+00
6,william.wilson.6@retailflow.com,William,Wilson,+1-720-610-6544,true,2023-10-02 20:08:22+00,2023-10-02 20:08:22+00
7,paul.hill.7@retailflow.com,Paul,Hill,+1-645-290-2049,true,2025-04-05 20:08:22+00,2025-04-05 20:08:22+00
8,thomas.gonzalez.8@retailflow.com,Thomas,Gonzalez,+1-234-813-9364,true,2024-07-20 20:08:22+00,2024-07-20 20:08:22+00
9,elizabeth.sanchez.9@retailflow.com,Elizabeth,Sanchez,+1-561-885-7474,true,2024-11-10 20:08:22+00,2024-11-10 20:08:22+00
10,helen.thompson.10@retailflow.com,Helen,Thompson,+1-555-483-4707,true,2024-04-19 20:08:22+00,2024-04-19 20:08:22+00
11,betty.jones.11@retailflow.com,Betty,Jones,+1-715-501-6570,true,2025-09-02 20:08:22+00,2025-09-02 20:08:22+00
12,paul.thomas.12@retailflow.com,Paul,Thomas,+1-975-547-8517,true,2024-02-02 20:08:22+00,2024-02-02 20:08:22+00
13,richard.lee.13@retailflow.com,Richard,Lee,+1-622-561-9462,true,2024-06-30 20:08:22+00,2024-06-30 20:08:22+00
14,daniel.thompson.14@retailflow.com,Daniel,Thompson,+1-423-787-5408,true,2025-06-26 20:08:22+00,2025-06-26 20:08:22+00
15,patricia.anderson.15@retailflow.com,Patricia,Anderson,+1-407-455-6833,true,2025-07-24 20:08:22+00,2025-07-24 20:08:22+00
16,elizabeth.sanchez.16@retailflow.com,Elizabeth,Sanchez,+1-427-968-3101,true,2025-11-05 20:08:22+00,2025-11-05 20:08:22+00
17,mary.robinson.17@retailflow.com,Mary,Robinson,+1-323-915-9490,true,2024-09-15 20:08:22+00,2024-09-15 20:08:22+00
18,sandra.perez.18@retailflow.com,Sandra,Perez,+1-574-388-9171,true,2024-10-22 20:08:22+00,2024-10-22 20:08:22+00
19,kenneth.anderson.19@retailflow.com,Kenneth,Anderson,+1-302-938-5422,true,2025-05-03 20:08:22+00,2025-05-03 20:08:22+00
20,david.king.20@retailflow.com,David,King,+1-746-937-6172,true,2023-10-18 20:08:22+00,2023-10-18 20:08:22+00
21,patricia.taylor.21@retailflow.com,Patricia,Taylor,+1-687-844-2577,true,2024-09-26 20:08:22+00,2024-09-26 20:08:22+00
22,joshua.gonzalez.22@retailflow.com,Joshua,Gonzalez,+1-790-789-9821,true,2025-07-05 20:08:22+00,2025-07-05 20:08:22+00
23,sandra.jackson.23@retailflow.com,Sandra,Jackson,+1-674-846-3373,true,2025-07-12 20:08:22+00,2025-07-12 20:08:22+00
24,sarah.hernandez.24@retailflow.com,Sarah,Hernandez,+1-551-433-6136,true,2025-02-09 20:08:22+00,2025-02-09 20:08:22+00
25,helen.king.25@retailflow.com,Helen,King,+1-661-623-3741,true,2025-06-25 20:08:22+00,2025-06-25 20:08:22+00
26,sarah.miller.26@retailflow.com,Sarah,Miller,+1-468-832-3544,true,2025-10-05 20:08:22+00,2025-10-05 20:08:22+00
27,karen.hernandez.27@retailflow.com,Karen,Hernandez,+1-229-235-6846,true,2025-01-31 20:08:22+00,2025-01-31 20:08:22+00
28,mary.nguyen.28@retailflow.com,Mary,Nguyen,+1-811-667-8126,true,2024-07-12 20:08:22+00,2024-07-12 20:08:22+00
29,linda.white.29@retailflow.com,Linda,White,+1-622-466-3551,true,2025-02-23 20:08:22+00,2025-02-23 20:08:22+00
30,nancy.walker.30@retailflow.com,Nancy,Walker,+1-506-209-8052,true,2023-10-05 20:08:22+00,2023-10-05 20:08:22+00
31,margaret.thomas.31@retailflow.com,Margaret,Thomas,+1-367-932-7385,true,2024-12-08 20:08:22+00,2024-12-08 20:08:22+00
32,jessica.robinson.32@retailflow.com,Jessica,Robinson,+1-832-663-5458,true,2024-01-13 20:08:22+00,2024-01-13 20:08:22+00
33,john.young.33@retailflow.com,John,Young,+1-422-550-7885,true,2025-02-14 20:08:22+00,2025-02-14 20:08:22+00
34,emily.moore.34@retailflow.com,Emily,Moore,+1-994-601-2169,true,2024-06-22 20:08:22+00,2024-06-22 20:08:22+00
